"","year_q","acf","cases","tbcases","population","q_population","cnr","conf.low","conf.high","period"
"73","2010.4","ACF",163,"All cases",129298,32324,504.269273604752,429.979838183482,587.654904534661,"pre-ACF"
"74","2010.4","ACF",163,"All cases",129298,32324,504.269273604752,429.979838183482,587.654904534661,"pre_ACF"
"75","2010.4","Non-ACF",369,"All cases",289049,72262,510.641831114555,459.976790175049,565.340698533979,"pre-ACF"
"76","2010.4","Non-ACF",369,"All cases",289049,72262,510.641831114555,459.976790175049,565.340698533979,"pre_ACF"
"77","2010.4","ACF",204,"All cases",129298,32324,631.110011137235,547.693240400402,723.575436526203,"pre-ACF"
"78","2010.4","ACF",204,"All cases",129298,32324,631.110011137235,547.693240400402,723.575436526203,"pre_ACF"
"79","2010.4","Non-ACF",297,"All cases",289049,72262,411.004400653179,365.666217784005,460.392404922246,"pre-ACF"
"80","2010.4","Non-ACF",297,"All cases",289049,72262,411.004400653179,365.666217784005,460.392404922246,"pre_ACF"
"81","2011.1","ACF",142,"All cases",130173,32543,436.34575792029,367.651367456658,514.103751218479,"pre-ACF"
"82","2011.1","Non-ACF",242,"All cases",290961,72740,332.691778938686,292.14976992532,377.271549392034,"pre-ACF"
"83","2011.1","ACF",142,"All cases",130173,32543,436.34575792029,367.651367456658,514.103751218479,"pre-ACF"
"84","2011.1","Non-ACF",239,"All cases",290961,72740,328.56750068738,288.285068171488,372.888556576293,"pre-ACF"
"85","2011.1","ACF",142,"All cases",130173,32543,436.34575792029,367.651367456658,514.103751218479,"pre-ACF"
"86","2011.1","Non-ACF",242,"All cases",290961,72740,332.691778938686,292.14976992532,377.271549392034,"pre-ACF"
"87","2011.2","ACF",249,"All cases",131048,32762,760.026860387034,668.845351028324,860.093645254034,"ACF"
"88","2011.2","Non-ACF",311,"All cases",292874,73218,424.758939058701,378.942584578828,474.569408469791,"ACF"
"89","2011.3","ACF",261,"All cases",131928,32982,791.340731307986,698.554645944418,892.942999900337,"ACF"
"90","2011.3","Non-ACF",325,"All cases",294786,73696,441.000868432479,394.44287195582,491.524176958613,"ACF"
"91","2011.4","ACF",249,"All cases",132803,33201,749.977410318966,659.997673989969,848.726721996929,"ACF"
"92","2011.4","Non-ACF",332,"All cases",296699,74175,447.590158409168,400.82488584811,498.293856799971,"ACF"
"93","2012.1","ACF",237,"All cases",133682,33420,709.156193895871,622.000778152563,805.035409935428,"ACF"
"94","2012.1","Non-ACF",312,"All cases",298609,74652,417.93923806462,372.927399907275,466.868888974276,"ACF"
"95","2012.2","ACF",246,"All cases",134558,33640,731.272294887039,643.013364436479,828.19072149668,"ACF"
"96","2012.2","Non-ACF",276,"All cases",300522,75130,367.36323705577,325.36365317031,413.264219878007,"ACF"
"97","2012.3","ACF",225,"All cases",135437,33859,664.520511533123,580.757411143608,756.906863208873,"ACF"
"98","2012.3","Non-ACF",347,"All cases",302431,75608,458.946143265263,412.016401036959,509.737268001599,"ACF"
"99","2012.4","ACF",233,"All cases",136314,34078,683.725570749457,598.9918323101,777.020610666246,"ACF"
"100","2012.4","Non-ACF",346,"All cases",304344,76086,454.748573982073,408.181857195134,505.15283635161,"ACF"
"101","2013.1","ACF",223,"All cases",137189,34297,650.202641630463,567.884981344415,741.036715729593,"ACF"
"102","2013.1","Non-ACF",366,"All cases",306258,76564,478.031450812392,430.406199551996,529.466643292898,"ACF"
"103","2013.2","ACF",188,"All cases",138069,34517,544.659153460614,469.75182772372,628.063049794077,"ACF"
"104","2013.2","Non-ACF",341,"All cases",308169,77042,442.615716102905,396.966885069304,492.055886261026,"ACF"
"105","2013.3","ACF",216,"All cases",138945,34736,621.833256563796,541.87558025792,710.207471890334,"ACF"
"106","2013.3","Non-ACF",339,"All cases",310079,77520,437.306501547988,392.074948495418,486.306615081749,"ACF"
"107","2013.4","ACF",203,"All cases",139820,34955,580.746674295523,503.788249815782,666.08166155809,"ACF"
"108","2013.4","Non-ACF",274,"All cases",311993,77998,351.291058745096,310.98432122222,395.357222651481,"ACF"
"109","2014.1","ACF",243,"All cases",140699,35175,690.831556503198,606.942426516403,783.010129666861,"ACF"
"110","2014.1","Non-ACF",296,"All cases",313904,78476,377.185381517916,335.503526025037,422.599036120841,"ACF"
"111","2014.2","ACF",197,"All cases",141576,35394,556.591512685766,481.751894089799,639.710670417414,"ACF"
"112","2014.2","Non-ACF",253,"All cases",315815,78954,320.43974972769,282.219786461533,362.378893879193,"ACF"
"113","2014.3","ACF",220,"All cases",142453,35613,617.751944514644,539.018445659601,704.693743030016,"ACF"
"114","2014.3","Non-ACF",259,"All cases",317727,79432,326.065061939772,287.613945890138,368.211679908893,"ACF"
